 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor médio intern por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";...;474,94;...;...;...;1755,76;429,51;494,87;581,38;702,23;716,14;762,54;921,00;733,33;705,25;693,28;713,82;745,78;811,97;815,82;840,14;839,06;840,06;926,30;929,49;942,20;883,30;896,70;810,98;898,50;891,00;858,61;903,17;891,04;892,91;911,91;912,23;884,53;933,00;908,32;905,87;897,91;929,50;959,34;983,90;960,91;973,70;960,85;934,01;989,49;974,28;955,23;1019,63;1030,47;1037,48;1015,60;1045,67;1044,65;1035,04;1010,45;1070,71;1055,21;1038,20;1026,74;1065,72;1051,01;1098,17;1094,29;1009,12;1127,70;1141,54;1135,37;1165,70;1144,65;1066,27;1130,34;1084,72;1096,56;1152,30;1163,73;1175,19;1133,27;1137,28;1155,57;1130,20;1230,61;1161,89;1198,30;1231,63;1231,85;1323,08;1234,45;1221,43;1273,17;1302,21;1293,01;1307,37;1318,39;1304,83;1231,85;1294,73;1284,08;1341,70;1341,58;1353,98;1356,22;1350,04;1390,82;1367,67;1273,67;1259,99;1338,59;1423,48;1321,85;1307,22;1287,99;1176,72;1515,21;1364,68;1421,64;1429,31;1324,70;1283,47;1320,10;1338,50;1335,61;1389,19;1364,19;1404,20;1344,60;1391,23;1404,08;1395,89;1424,32;1360,68;1346,95;1379,66;1430,81;1400,11;1462,45;1373,19;1484,17;1438,90;1402,61;1453,69;1504,27;1451,68;1398,84;1435,34;1435,07;1405,46;1455,47;1509,95;1482,45;1419,24;1452,28;1544,59;1456,63;1474,85;1652,87;1889,59;1885,82;2153,09;1906,84;1780,93;1758,30;1745,62;1975,08;1904,09;1791,29;1520,98;1213,28
"25 Paraíba";1730,95;...;...;...;...;...;1463,38;909,84;1348,46;935,66;923,49;757,74;897,97;617,60;623,20;609,63;625,90;652,29;687,98;675,39;687,59;732,70;745,77;769,87;772,86;752,18;775,46;766,84;775,20;797,86;807,61;791,90;799,85;851,96;794,38;794,31;803,37;793,54;802,69;822,54;792,85;810,25;806,26;806,77;806,12;812,87;844,19;878,45;827,12;851,21;820,09;851,49;857,15;854,92;868,10;867,00;888,69;874,52;885,29;867,94;895,24;864,48;848,04;864,65;919,06;928,98;943,67;961,93;984,49;962,76;982,85;997,33;1001,36;1004,95;947,50;976,38;939,41;925,23;988,30;991,46;1021,32;999,00;1021,51;1037,49;1046,83;1041,90;999,75;1028,35;1005,28;1020,81;1025,50;996,88;995,17;1000,96;1034,26;1023,85;1060,09;1039,48;1035,06;1025,31;1043,18;1053,97;1087,50;1092,48;1089,01;1079,69;1084,80;1071,32;1075,74;1018,47;1049,06;1081,86;1120,18;1083,82;1087,07;1109,76;1116,62;1091,30;1110,41;1112,99;1105,66;1111,53;1158,97;1097,20;1108,76;1133,63;1169,51;1172,83;1206,96;1143,79;1212,21;1189,28;1191,68;1230,01;1150,28;1154,30;1170,78;1193,35;1185,69;1213,41;1184,71;1200,12;1238,04;1232,37;1257,66;1282,67;1182,45;1186,07;1183,99;1201,48;1236,58;1232,02;1223,49;1257,84;1251,55;1241,18;1251,61;1246,34;1263,89;1407,94;1656,75;1842,39;1696,04;1540,30;1418,27;1414,66;1403,43;1512,84;1553,15;1632,24;1634,62;1006,43
"26 Pernambuco";1951,87;1164,89;...;1865,88;...;20699,26;9199,66;1494,93;1111,69;954,90;899,79;725,08;1252,84;711,28;740,71;669,56;698,75;715,76;725,33;750,94;746,42;765,97;810,49;827,02;1489,31;860,89;813,36;824,27;818,08;844,63;839,51;864,88;850,83;860,36;830,49;852,26;1971,54;871,93;862,80;878,37;949,28;860,97;824,15;895,73;882,35;901,61;876,93;921,30;971,80;907,27;904,13;929,90;940,64;936,10;1005,37;984,69;944,41;968,24;982,59;966,05;1022,71;1000,97;966,22;976,28;1000,55;984,21;1030,04;1050,56;1030,23;1079,90;1069,34;1101,72;1158,50;1122,74;1150,14;1139,78;1163,54;1182,56;1206,71;1245,25;1272,69;1237,83;1260,47;1282,03;1297,32;1305,42;1276,40;1241,73;1278,67;1288,91;1289,60;1306,73;1351,85;1301,88;1288,07;1314,22;1356,60;1351,53;1311,17;1315,33;1354,44;1346,20;1341,74;1333,14;1330,56;1378,77;1318,06;1333,65;1372,84;1332,40;1336,73;1331,29;1339,80;1369,30;1344,55;1379,23;1360,46;1392,47;1438,18;1491,01;1427,18;1409,03;1367,67;1380,51;1397,68;1385,63;1411,32;1429,79;1417,89;1460,14;1402,09;1416,89;1458,08;1438,44;1392,44;1382,98;1421,18;1415,60;1441,84;1444,53;1399,21;1415,58;1438,33;1423,03;1449,63;1402,53;1372,56;1334,64;1384,93;1400,96;1414,59;1415,05;1430,41;1400,72;1429,42;1462,57;1454,60;1444,45;1433,34;1705,65;1880,61;1931,48;1815,45;1806,57;1751,76;1673,77;1731,80;1923,75;1944,46;1850,76;1590,04;1224,60
"27 Alagoas";...;...;...;...;...;...;1983,81;534,58;632,82;656,61;654,30;574,72;1116,72;603,36;615,72;597,52;574,33;641,47;635,10;632,27;630,38;663,07;691,14;699,54;715,73;716,53;735,42;748,50;727,81;760,24;737,82;805,39;794,75;779,13;796,57;800,30;785,57;783,63;774,30;773,61;777,98;803,42;766,16;804,62;809,50;825,34;827,25;825,24;806,93;833,26;838,81;824,94;852,22;846,02;831,74;861,49;823,87;839,83;840,74;848,03;883,53;856,74;886,61;879,48;901,90;883,09;886,24;913,12;887,75;959,59;934,41;931,82;944,83;979,60;985,76;996,01;969,44;1006,03;1008,21;1009,96;1052,05;1053,65;1025,54;981,93;1567,09;1017,28;1051,52;1018,23;1017,48;1032,86;1047,90;1039,14;1089,51;1086,11;1080,28;1070,41;1079,17;1087,03;1133,45;1072,19;1036,32;1075,36;1044,19;1043,51;1033,00;1050,50;1051,87;1072,56;1045,79;1036,75;1067,59;1012,35;1045,77;1049,90;1043,56;1065,22;1003,51;1082,65;1095,11;1086,56;1103,39;1088,84;1083,40;1095,40;1064,28;1037,47;1100,32;1087,63;1128,38;1104,34;1173,59;1125,49;1171,15;1122,02;1164,27;1176,35;1159,38;1166,58;1207,47;1187,36;1141,84;1211,04;1189,56;1152,05;1302,33;1237,74;1176,88;1157,63;1178,85;1201,10;1162,27;1141,72;1196,78;1199,90;1175,31;1253,68;1304,70;1215,91;1277,99;1475,56;1732,34;1808,92;1660,63;1485,77;1388,11;1314,64;1394,79;1375,34;1335,12;1229,82;1072,48;999,07
"28 Sergipe";...;177,20;...;189,35;...;...;1709,98;1525,20;1354,57;640,38;895,73;700,84;623,07;571,11;547,68;540,76;575,62;579,86;566,86;553,45;581,18;589,70;658,69;646,49;686,90;715,77;728,26;708,40;705,33;756,75;761,62;766,85;769,22;753,02;805,37;792,49;876,53;861,64;808,68;811,90;854,43;818,46;847,47;885,90;869,60;873,34;851,18;870,84;890,17;873,89;858,32;892,76;856,26;853,51;893,88;882,52;842,02;862,39;814,32;913,35;947,07;914,84;879,65;877,59;914,41;955,28;899,66;915,96;961,87;935,95;928,93;981,45;1017,78;966,17;949,56;936,72;927,70;957,65;935,34;963,66;954,24;1013,41;934,02;960,88;998,65;932,97;944,56;971,30;958,37;963,20;947,76;931,68;1000,82;949,94;981,31;976,47;1054,60;1008,40;957,54;1013,25;974,62;998,34;1043,30;1042,54;1079,82;1033,72;1094,95;1014,77;1037,53;1149,30;1112,18;1052,52;1039,05;1110,90;1088,04;960,76;1129,30;1089,58;1046,09;1079,29;1123,47;1123,36;1033,62;1052,32;1014,83;1108,95;1108,18;1098,89;1136,79;1122,96;1059,26;1061,35;1194,35;1142,95;1179,12;1055,58;1053,48;1124,56;1079,93;1141,45;1166,98;1333,94;1175,42;1248,50;1310,30;1292,73;1167,10;1186,18;1237,04;1231,97;1265,39;1278,91;1199,43;1193,97;1193,11;1199,93;1216,45;1194,46;1167,79;1416,47;1518,55;1586,76;1653,29;1802,04;1624,75;1652,69;1578,74;1565,77;1185,50;980,50;1199,33;993,01
"29 Bahia";4955,12;1572,09;...;...;...;832,03;3331,46;2502,71;1437,02;1271,42;1026,29;679,38;1116,65;552,66;555,38;535,18;559,25;580,87;759,39;575,77;575,36;610,26;639,06;674,66;650,63;646,67;636,74;655,81;664,87;694,39;683,31;701,83;676,25;678,31;666,39;693,22;681,04;668,89;666,96;666,91;682,20;692,15;705,75;692,37;689,05;697,56;702,90;718,64;719,75;725,49;702,63;721,92;730,93;734,95;771,14;822,97;776,99;786,66;751,49;761,84;786,79;770,49;770,31;781,34;792,60;792,73;796,60;801,03;791,63;815,72;858,85;920,33;856,00;837,93;844,38;868,54;871,90;856,19;897,43;901,93;908,72;915,89;905,32;920,15;928,21;930,71;893,70;917,33;909,12;892,09;922,10;913,42;912,94;925,43;920,92;935,81;923,34;919,99;922,60;913,92;924,52;946,88;942,56;965,36;947,16;944,48;991,16;945,48;1005,81;935,80;966,54;969,78;1002,48;1022,99;1030,50;1024,25;1026,71;1054,45;1060,74;1083,53;1071,80;1040,73;1028,04;1017,60;1035,92;1012,40;1030,35;1039,74;1037,99;1045,63;1044,41;1035,30;1032,24;1022,52;986,95;998,66;1003,99;1024,48;1043,90;1035,11;1024,41;1063,76;1069,06;1041,61;1033,40;1028,57;1014,83;1007,36;1019,19;1023,71;1061,40;1063,30;1061,42;1067,53;1062,48;1088,85;1101,28;1053,28;1116,85;1254,94;1344,27;1544,50;1644,05;1520,21;1313,09;1301,26;1358,10;1510,99;1408,20;1366,18;1191,80;898,82
"31 Minas Gerais";1578,42;279,48;...;...;19336,20;4138,78;2836,25;1805,57;1674,54;1371,20;1301,45;949,28;2224,92;812,65;817,81;796,42;819,38;849,43;865,07;859,90;863,35;912,73;948,29;1022,81;1093,31;985,69;993,74;988,67;1017,63;1037,25;1045,79;1042,13;1031,48;1059,71;1054,72;1067,27;1051,61;1033,47;1023,96;1054,81;1072,69;1085,75;1091,93;1087,22;1073,16;1080,00;1109,20;1089,46;1139,18;1130,92;1116,78;1110,51;1130,96;1151,03;1163,08;1153,37;1155,01;1186,71;1148,85;1171,95;1258,87;1181,09;1181,21;1164,58;1202,90;1194,59;1215,23;1223,08;1198,50;1215,75;1238,66;1242,89;1278,18;1237,38;1263,26;1255,65;1252,67;1272,64;1303,72;1294,66;1299,38;1315,05;1302,42;1330,57;1338,90;1328,26;1334,33;1320,96;1331,02;1333,32;1374,89;1338,58;1331,79;1371,65;1371,82;1370,60;1367,44;1406,11;1366,16;1376,29;1375,68;1404,48;1367,30;1406,91;1377,01;1387,37;1388,43;1387,91;1379,96;1351,57;1343,65;1337,73;1377,03;1391,95;1388,03;1421,40;1404,48;1448,03;1434,79;1442,67;1448,19;1462,11;1431,42;1418,33;1423,05;1423,04;1451,05;1482,94;1441,86;1454,69;1442,20;1440,10;1431,09;1437,90;1426,01;1415,33;1436,18;1456,26;1466,98;1482,47;1437,84;1463,08;1465,21;1475,91;1478,02;1459,72;1443,50;1425,90;1417,00;1456,64;1499,08;1495,35;1474,80;1513,50;1478,25;1509,52;1504,80;1440,52;1528,35;1655,68;1692,23;1831,78;1938,06;1977,75;1935,07;1816,97;1767,15;1820,56;1861,29;1745,40;1606,57;1312,12
"32 Espírito Santo";1421,50;361,71;...;554,69;...;...;1025,65;1472,00;1519,92;1176,83;905,87;741,28;1116,84;724,50;738,19;747,78;743,84;768,07;809,87;790,86;797,43;802,99;894,28;886,69;900,72;857,67;832,11;868,74;905,89;894,63;924,04;927,09;919,47;929,05;929,65;925,53;945,37;931,36;957,00;922,26;938,23;970,18;980,82;979,60;980,78;1004,66;989,10;932,36;942,28;949,69;959,00;927,14;946,77;982,27;1003,33;1043,88;984,59;1011,89;1006,67;959,77;1004,63;1014,05;983,36;990,05;1024,52;1036,21;1081,36;1053,25;1100,47;1021,02;1048,39;1095,05;1150,62;1170,88;1107,29;1073,82;1097,31;1135,51;1129,55;1156,08;1107,41;1116,06;1128,75;1144,54;1083,64;1123,38;1157,53;1100,75;1159,24;1170,11;1149,09;1169,19;1126,44;1174,39;1157,06;1149,60;1143,91;1187,24;1146,53;1123,26;1138,58;1138,72;1215,71;1168,51;1202,53;1239,99;1238,09;1244,69;1270,86;1222,16;1280,81;1235,64;1259,16;1257,41;1327,93;1287,11;1241,34;1269,08;1308,46;1324,73;1323,80;1293,49;1251,29;1253,69;1254,01;1262,59;1313,58;1253,06;1274,78;1299,92;1270,76;1278,77;1252,16;1246,86;1192,61;1229,13;1255,47;1241,41;1245,18;1256,70;1267,95;1265,98;1246,55;1283,80;1278,46;1269,99;1281,12;1250,04;1303,60;1275,23;1305,58;1356,38;1301,02;1356,01;1317,14;1259,71;1317,85;1298,58;1317,24;1538,95;1775,09;1934,87;2274,29;2036,20;1896,78;1853,26;1826,53;2015,27;1917,50;1963,56;1983,27;1175,72
"33 Rio de Janeiro";627,55;666,73;6135,21;3651,93;2320,00;4182,41;3079,03;1173,67;1140,65;937,88;969,45;774,27;4573,36;928,31;735,95;759,88;764,07;801,45;804,79;786,05;803,03;832,34;872,45;938,97;1201,47;885,73;906,26;914,01;904,67;1037,22;932,46;938,07;901,73;901,92;939,49;886,96;1008,66;901,21;890,19;1350,16;936,14;934,75;956,81;982,60;1003,31;975,04;948,89;984,34;1304,13;1134,96;965,12;957,03;970,68;981,00;1009,71;1021,05;1022,42;1044,14;1013,27;1005,38;1259,22;974,64;1033,64;1011,91;1038,07;1041,41;1067,27;1102,92;1063,67;1094,63;1113,11;1050,27;1950,08;1115,44;1084,67;1168,97;1157,61;1152,41;1117,80;1151,50;1129,19;1154,75;1111,36;1149,95;1256,55;1183,47;1192,14;1153,16;1136,87;1212,60;1172,37;1136,79;1140,32;1149,60;1160,36;1196,94;1180,44;1149,76;1126,71;1110,37;1175,63;1188,53;1248,38;1207,70;1195,32;1224,04;1179,22;1178,25;1214,68;1163,38;1171,15;1131,65;1162,58;1175,34;1547,84;1301,57;1240,58;1278,04;1244,52;1317,83;1312,22;1298,30;1255,61;1219,14;1245,48;1221,94;1254,50;1266,83;1279,30;1296,02;1288,07;1268,81;1230,58;1268,31;1224,00;1223,65;1287,95;1257,16;1272,26;1267,01;1258,45;1306,65;1312,15;1309,85;1311,85;1312,57;1254,90;1256,00;1271,63;1299,38;1376,00;1320,91;1323,89;1309,26;1284,94;1349,34;1343,24;1342,67;1375,04;1533,22;1794,29;1761,97;1753,50;1576,44;1443,78;1436,98;1474,49;1653,38;1650,08;1479,23;1491,56;1187,40
"35 São Paulo";3994,48;31429,70;45586,58;...;5171,41;23367,40;10221,63;2871,29;1925,39;1997,45;1679,32;1111,99;5659,88;1029,81;906,48;901,36;925,03;941,70;940,01;955,67;945,13;997,61;1100,19;1074,04;1109,34;1065,31;1065,48;1127,85;1086,04;1113,04;1087,79;1079,26;1088,23;1113,50;1127,41;1106,26;1140,37;1088,07;1104,90;1113,80;1133,92;1166,34;1158,88;1210,52;1148,86;1246,64;1180,05;1148,53;1172,76;1164,02;1149,19;1161,65;1197,95;1222,07;1221,80;1204,61;1212,55;1196,51;1200,14;1169,83;1234,72;1182,84;1163,23;1178,79;1192,33;1213,77;1221,31;1230,22;1246,20;1368,98;1244,70;1251,95;1325,41;1263,99;1282,02;1260,89;1299,88;1301,38;1338,47;1318,92;1335,22;1410,48;1339,71;1305,99;1380,27;1332,47;1321,07;1280,59;1336,27;1342,28;1382,26;1372,65;1394,01;1346,09;1357,49;1332,61;1361,54;1311,58;1309,92;1296,98;1327,84;1355,59;1386,51;1389,61;1349,47;1363,90;1342,85;1347,71;1364,15;1332,16;1312,09;1309,32;1334,86;1353,43;1358,42;1350,10;1353,07;1346,78;1362,49;1362,59;1398,91;1342,06;1326,88;1338,22;1354,24;1348,67;1382,53;1409,18;1332,59;1386,38;1357,58;1381,26;1378,18;1366,90;1329,89;1351,19;1365,59;1361,10;1380,44;1378,21;1381,99;1410,07;1386,77;1387,26;1396,95;1361,00;1364,18;1346,41;1371,08;1354,78;1434,83;1405,26;1389,10;1375,84;1389,81;1406,77;1432,47;1375,63;1440,07;1761,63;1929,80;1939,62;1985,93;1901,76;1796,99;1687,68;1692,62;1783,92;1762,09;1652,95;1475,00;1328,93
"41 Paraná";168,03;...;74,94;...;5930,30;4091,22;5522,54;858,82;1027,79;1053,32;1113,00;982,05;967,97;867,92;878,43;885,54;874,59;897,85;914,77;928,82;920,58;967,87;1030,58;1047,55;1039,97;1007,22;1000,11;1018,16;1044,23;1060,48;1044,43;1035,88;1043,64;1055,62;1060,72;1064,67;1089,03;1066,91;1053,41;1081,80;1089,23;1105,91;1104,23;1123,06;1113,51;1130,67;1172,62;1142,82;1165,88;1164,19;1154,72;1203,50;1233,12;1237,22;1251,32;1241,90;1239,71;1227,30;1202,72;1183,16;1228,02;1233,39;1201,17;1230,97;1236,72;1213,27;1260,08;1237,27;1283,33;1275,41;1302,85;1276,01;1330,30;1312,04;1310,31;1362,47;1366,97;1384,97;1381,87;1417,40;1411,70;1411,96;1363,71;1372,54;1416,63;1411,87;1414,69;1390,64;1406,51;1422,02;1444,36;1431,21;1412,36;1428,01;1445,98;1399,62;1437,23;1423,98;1442,63;1406,56;1472,06;1461,71;1467,68;1499,04;1498,21;1536,40;1564,43;1494,48;1497,93;1487,18;1497,20;1491,65;1525,30;1549,56;1560,08;1597,93;1567,45;1582,61;1601,24;1600,58;1620,23;1568,88;1606,24;1587,98;1601,52;1583,92;1648,67;1637,87;1582,63;1641,87;1602,12;1612,07;1653,82;1649,81;1616,24;1646,88;1688,68;1675,80;1681,63;1721,41;1691,11;1700,99;1680,08;1691,94;1711,90;1680,43;1661,80;1655,88;1665,70;1716,53;1734,55;1708,05;1714,36;1761,02;1757,20;1677,88;1697,45;1651,01;1697,18;1861,06;1989,40;2073,58;2186,08;2180,97;2012,65;1978,22;2071,49;2131,36;2040,00;1931,69;1774,72;1418,21
"42 Santa Catarina";...;508,49;...;...;...;29123,45;950,48;905,95;1298,06;1414,17;1291,06;1002,75;1769,58;841,39;866,71;882,89;894,23;897,38;912,19;936,43;950,79;961,14;1022,27;1043,50;1046,05;1040,68;1020,58;1070,21;1027,32;1072,10;1108,96;1054,65;1108,25;1092,71;1105,51;1148,40;1100,85;1122,42;1101,38;1140,44;1141,15;1158,51;1162,15;1170,03;1165,25;1195,80;1195,22;1146,80;1199,53;1172,98;1169,86;1176,11;1207,69;1232,28;1226,83;1232,38;1223,05;1213,65;1200,10;1197,83;1222,78;1228,30;1208,17;1258,95;1217,78;1238,84;1268,77;1291,37;1277,37;1250,13;1289,41;1297,85;1356,59;1335,26;1323,67;1360,78;1383,20;1389,97;1402,43;1382,41;1406,43;1401,48;1423,48;1378,80;1383,37;1385,01;1421,23;1400,88;1387,69;1433,56;1452,04;1464,06;1445,43;1407,31;1419,81;1459,94;1458,73;1378,63;1399,81;1411,00;1403,00;1415,35;1428,19;1408,53;1431,47;1440,01;1441,86;1392,46;1427,23;1388,62;1415,38;1405,39;1445,24;1499,92;1616,85;1425,29;1443,54;1442,78;1419,99;1435,48;1447,50;1447,38;1427,43;1440,03;1382,82;1422,65;1426,64;1440,81;1427,75;1399,93;1427,97;1426,88;1467,60;1400,98;1429,33;1461,30;1455,37;1466,43;1433,38;1471,68;1480,43;1489,89;1507,92;1433,94;1454,14;1488,47;1495,51;1459,23;1458,36;1473,83;1497,87;1505,09;1537,07;1493,90;1498,66;1494,53;1536,84;1499,24;1512,57;1782,09;1878,75;1897,71;2276,38;2241,03;1884,56;1822,87;2033,86;2061,30;1749,76;1761,86;1427,11;1367,79
"43 Rio Grande do Sul";...;...;...;...;...;2923,60;5311,39;4180,29;2524,12;1746,75;1640,22;1083,30;866,82;838,53;859,08;867,80;874,35;882,93;873,22;918,07;934,82;957,41;982,38;1004,60;1041,38;999,86;1025,03;1036,76;1042,26;1029,85;1035,22;1059,29;1069,76;1072,48;1055,88;1067,80;1097,27;1053,34;1077,61;1102,34;1105,22;1112,86;1110,92;1106,82;1089,37;1105,12;1139,53;1122,11;1123,67;1136,66;1122,58;1140,85;1156,13;1157,90;1158,97;1197,84;1184,18;1191,93;1170,85;1171,17;1177,13;1168,36;1170,71;1174,46;1185,09;1210,79;1181,99;1213,34;1203,01;1239,19;1219,05;1291,36;1295,60;1275,95;1276,56;1318,36;1340,72;1301,63;1301,59;1316,80;1320,06;1318,09;1356,60;1354,39;1318,85;1304,06;1323,27;1340,82;1336,24;1348,96;1336,76;1366,48;1382,17;1388,93;1387,79;1371,44;1366,43;1348,46;1375,13;1341,02;1397,74;1379,89;1394,07;1404,57;1411,18;1403,08;1401,28;1377,46;1405,07;1378,08;1384,05;1366,18;1401,90;1407,28;1405,49;1396,94;1401,60;1388,44;1386,59;1408,51;1425,38;1400,28;1378,91;1389,60;1396,18;1400,71;1425,42;1409,65;1435,10;1457,99;1416,49;1438,91;1468,72;1430,93;1425,88;1430,01;1442,61;1446,88;1413,07;1453,14;1460,56;1496,61;1501,30;1456,86;1480,82;1512,72;1486,56;1439,82;1451,91;1457,54;1488,55;1452,51;1467,31;1457,09;1474,05;1491,27;1506,44;1471,53;1492,82;1717,43;1738,54;1845,24;2046,55;2080,81;1988,83;1940,15;1974,33;2091,74;1852,71;1905,64;1688,96;1314,79
"50 Mato Grosso do Sul";...;...;...;...;...;...;810,24;1231,83;1362,65;1121,40;908,05;686,45;677,41;686,39;731,05;685,58;757,67;766,48;747,47;756,96;771,38;810,65;841,24;820,77;822,25;837,63;811,53;835,56;847,49;908,77;871,10;861,98;843,22;884,51;840,48;865,59;867,24;834,67;813,26;845,53;930,05;958,49;907,96;885,46;882,41;945,34;950,59;912,13;893,15;914,92;935,77;925,24;950,55;991,10;993,83;982,18;979,53;979,50;966,51;970,25;989,12;954,92;988,75;962,53;1018,53;976,92;1082,76;1039,04;1019,03;1067,72;1064,19;1047,73;1042,95;1016,72;978,36;1038,13;977,71;1035,58;1028,60;1063,05;1089,52;1081,82;1086,83;1069,29;1109,48;1084,88;1073,86;1028,16;1116,56;1082,45;1115,21;1106,26;1128,80;1098,84;1130,93;1082,15;1141,51;1102,27;1088,67;1060,90;1074,13;1141,92;1210,97;1151,19;1139,82;1151,65;1088,96;1139,42;1157,53;1137,69;1148,89;1122,30;1163,63;1190,48;1213,97;1181,24;1193,28;1162,89;1196,76;1202,68;1241,06;1176,69;1187,64;1133,15;1185,22;1162,28;1193,31;1183,00;1177,88;1175,09;1177,44;1170,55;1178,31;1196,09;1162,80;1174,00;1167,85;1230,39;1190,27;1248,84;1218,35;1225,12;1168,35;1230,60;1206,30;1249,07;1162,95;1173,23;1184,46;1208,53;1228,28;1294,23;1283,91;1267,33;1268,28;1272,79;1225,42;1216,25;1202,76;1462,15;1510,62;1699,11;1932,79;1843,02;1690,30;1659,19;1670,85;1776,92;1579,72;1489,83;1281,67;1087,35
"51 Mato Grosso";1011,56;116,78;...;...;...;1891,44;762,30;623,16;726,39;949,05;834,74;676,39;588,31;586,44;587,94;606,63;602,40;626,47;646,20;620,58;591,43;639,30;714,22;732,92;723,42;729,55;705,70;695,31;724,23;771,28;789,09;791,98;790,69;801,47;795,75;793,67;783,33;776,71;788,17;800,88;822,33;816,91;827,77;784,25;773,96;796,80;793,98;779,99;787,35;799,62;811,12;801,07;828,62;834,49;859,46;832,15;820,23;851,42;821,00;784,41;803,03;799,45;809,55;809,33;835,02;802,13;839,70;800,80;827,09;818,84;848,92;836,93;853,22;821,01;845,80;809,74;855,58;870,07;842,27;874,17;867,36;896,70;885,98;848,33;878,80;887,28;876,51;886,47;889,93;880,91;929,39;882,28;856,05;916,13;910,34;904,90;936,57;929,41;926,95;911,73;933,37;917,30;977,90;927,90;895,44;947,46;952,77;941,10;958,13;947,17;924,19;915,26;930,82;957,45;970,05;969,74;925,34;951,66;931,23;947,21;978,19;950,55;945,36;975,25;975,63;994,05;1022,26;1022,61;975,34;1023,85;990,53;1010,94;1009,98;1019,95;1006,30;946,32;983,04;1002,44;1003,17;981,80;983,49;1016,49;1022,16;985,32;956,38;961,80;962,39;946,31;982,87;987,26;977,26;984,24;934,07;963,04;963,80;954,47;974,42;967,97;960,31;1041,59;1145,76;1436,74;1513,36;1503,82;1415,18;1399,50;1313,40;1425,22;1301,76;1296,30;1301,88;900,37
