 Procedimentos hospitalares do SUS - por local de internação - Ceará
Valor médio intern por Município e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Município";"2007/Jan";"2007/Fev";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"230390 Chaval";...;...;...;...;413,09;...;383,66;342,38;325,91;320,03;300,53;287,68;348,76;353,49;403,40;358,32;403,13;383,99;397,06;405,93;362,52;378,88;365,83;360,46;340,05;373,19;363,75;374,65;374,65;373,00;329,51;303,54;340,17;335,89;341,55;349,67;365,65;379,53;344,61;373,07;366,68;402,35;356,81;385,91;379,03;413,97;407,00;344,72;343,67;364,42;358,69;356,51;395,11;365,71;364,26;371,09;346,45;371,22;350,72;389,60;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;313,98;57,55;306,42;191,51;145,67;111,77;392,92;373,85;364,82;...;...;...;437,97;441,84;432,22;407,07;175,27;451,40;411,54;...;...;353,88;477,29;302,57;378,68;438,91;459,40;344,81;337,88;345,60;398,97;319,76;505,71;415,61;392,92;401,62;357,93;459,49;522,12;392,59;737,86;1113,42;690,95;742,18;389,10;466,85;471,44;372,63;200,37;613,18;979,01;378,82
"230393 Choró";...;...;...;...;...;...;...;264,60;339,37;334,57;349,73;359,50;353,00;348,01;364,77;316,06;333,32;407,56;375,47;388,10;325,57;375,33;437,08;430,14;389,87;484,58;425,71;370,32;356,67;440,47;456,73;224,28;325,85;362,91;301,89;286,45;349,19;387,07;387,15;327,03;312,22;364,43;381,33;324,35;417,63;331,08;410,81;441,33;429,36;301,63;389,12;350,80;464,51;573,41;373,48;321,56;336,31;368,73;344,35;383,63;360,19;376,28;328,66;...;361,29;406,77;318,48;327,40;417,14;335,47;316,42;410,10;336,53;481,28;313,05;396,98;264,77;385,23;443,40;365,07;382,08;301,29;277,66;334,19;223,46;381,72;340,62;348,41;465,52;336,30;397,81;346,88;370,48;523,00;368,45;341,60;389,85;385,98;364,42;644,33;513,94;373,88;522,46;344,93;239,24;340,79;357,80;461,22;371,35;247,81;335,47;311,78;...;451,40;...;...;340,99;514,61;437,33;468,76;315,03;348,16;343,62;391,08;332,09;376,21;359,85;264,66;329,09;419,69;417,18;472,49;494,37;485,08;386,92;308,62;264,27;372,95;561,55;439,91;532,49;423,83;293,32;369,95;457,65;508,36;346,30;339,00;432,09;433,76;349,03;390,46;376,90;427,79;562,88;386,54;435,35;683,45;466,24;318,61;413,01;440,97;653,75;458,51;477,23;357,67;...;388,36
"230395 Chorozinho";...;...;...;...;...;...;295,36;308,89;283,25;380,22;340,50;312,24;344,48;270,47;331,52;305,28;295,68;354,87;374,86;443,40;365,11;336,09;333,14;332,24;391,29;350,04;314,81;366,29;317,99;280,07;331,35;360,97;407,92;302,58;311,91;316,29;373,64;335,28;325,82;312,54;322,21;357,72;371,78;419,76;354,55;313,42;440,96;411,53;329,62;320,04;382,76;399,49;276,22;225,16;396,41;369,68;423,28;352,73;395,64;390,60;323,38;315,79;415,52;315,35;371,33;330,39;284,38;263,32;317,27;456,95;404,33;324,50;293,59;403,78;427,58;264,76;419,49;210,06;347,34;489,74;480,88;...;308,39;380,90;361,20;392,70;361,00;384,44;422,75;371,15;357,56;410,17;360,25;415,86;393,09;371,38;420,08;356,25;404,03;403,42;421,24;319,51;466,23;462,96;443,40;383,79;387,02;511,28;426,43;408,50;358,02;420,92;429,47;426,40;451,40;451,40;353,41;416,78;428,44;369,25;402,85;406,87;376,53;404,68;370,20;479,48;367,45;367,75;403,68;362,08;383,94;395,64;354,10;382,80;369,56;356,79;368,78;296,09;393,91;340,44;440,79;517,06;362,90;350,07;328,00;380,89;341,93;390,92;376,18;209,33;346,97;352,73;367,08;333,24;320,80;913,02;1252,64;1113,08;788,40;624,53;367,50;664,49;661,20;581,18;628,03;575,41;1386,76;402,74
"230400 Coreaú";...;...;...;...;...;...;...;442,89;352,15;366,34;366,54;356,18;364,95;398,63;362,60;321,66;345,14;337,29;313,02;396,74;382,72;318,24;365,31;405,60;402,51;374,98;405,98;345,02;351,48;405,24;326,59;336,29;340,96;387,67;357,43;354,38;383,25;358,72;398,33;398,20;371,36;279,85;270,44;336,09;359,61;352,75;392,16;391,84;368,00;348,20;311,66;324,58;390,42;382,97;391,91;414,79;357,25;355,61;378,79;446,84;457,05;407,09;317,81;386,63;...;...;...;...;...;...;...;...;292,62;271,07;155,42;424,26;291,48;204,17;124,06;187,60;414,32;248,23;317,64;501,34;350,87;239,91;206,12;...;243,81;...;368,01;292,62;443,40;443,40;44,22;582,42;44,22;44,22;177,28;251,83;313,51;44,22;...;453,30;168,42;320,97;361,66;...;379,19;52,22;48,73;51,95;110,60;...;...;312,45;157,73;260,52;311,65;322,83;415,88;335,26;287,89;...;420,36;348,20;489,74;312,23;232,53;456,94;442,74;364,19;353,01;321,00;288,94;398,92;317,20;338,72;336,31;326,53;383,51;288,87;378,05;403,54;400,01;355,23;473,57;417,83;379,87;348,06;387,51;364,16;382,97;273,61;326,37;318,91;318,77;447,32;506,15;456,29;392,04;431,55;519,44;291,64;...;...;...;357,32
"230410 Crateús";...;...;...;...;...;...;...;455,38;468,45;499,42;476,57;497,74;468,25;485,32;489,54;460,69;472,89;477,12;468,24;484,22;498,71;465,51;490,08;476,64;496,52;481,26;480,24;484,82;488,35;477,50;462,79;435,97;495,71;474,67;477,91;481,56;467,98;459,96;487,91;473,17;471,47;444,50;437,77;486,24;445,09;467,51;468,93;517,70;412,49;418,78;437,42;434,92;447,17;460,50;445,30;459,37;463,32;462,05;457,28;455,02;454,43;453,80;434,30;458,66;450,45;444,36;455,83;466,65;434,74;428,22;442,51;456,36;438,33;452,36;524,74;464,50;450,19;478,01;460,11;447,22;452,67;453,53;451,99;475,09;442,05;446,05;450,50;451,23;451,52;469,31;457,65;454,24;448,60;453,10;439,17;477,18;470,18;474,87;463,55;464,69;452,13;464,67;447,06;478,72;457,21;449,79;446,82;461,63;491,58;473,94;467,71;474,93;477,50;475,07;463,46;474,97;470,14;468,55;500,43;480,84;478,19;479,36;466,00;460,74;461,30;426,52;463,95;411,66;411,29;425,40;425,99;454,94;437,80;430,45;435,00;415,44;441,38;426,71;425,49;430,02;415,51;428,19;438,74;439,39;425,53;429,73;411,61;408,58;421,19;407,36;417,38;417,47;465,80;441,81;424,37;440,35;951,67;1091,65;943,41;1076,41;991,85;544,73;783,84;640,03;846,93;886,50;1037,48;487,32
"230420 Crato";...;...;...;616,91;473,82;450,90;522,18;654,66;588,59;582,74;535,93;588,37;560,76;572,23;587,08;582,15;576,26;569,25;588,50;589,21;648,51;630,34;658,44;702,54;691,50;649,21;635,83;666,21;631,90;620,36;590,02;688,15;717,47;651,17;651,90;643,36;766,06;668,81;642,68;643,59;666,61;666,41;609,07;676,03;651,36;642,13;724,87;803,85;708,38;661,21;675,41;628,62;623,66;687,78;733,07;709,55;643,31;609,81;664,29;593,10;685,91;636,65;667,19;708,17;632,86;685,98;688,25;746,34;692,66;843,33;720,50;691,82;740,47;671,97;722,07;678,12;697,18;653,91;672,86;720,60;804,75;775,50;695,65;658,73;712,64;734,85;654,02;706,76;684,15;664,31;671,10;663,49;840,35;714,99;686,48;673,97;712,27;694,31;674,08;677,84;710,14;674,45;749,51;613,76;594,91;572,81;626,76;619,40;658,34;575,40;554,10;531,04;575,84;550,34;556,78;559,82;578,51;595,87;576,19;599,95;586,56;583,06;583,67;546,71;559,24;614,47;573,16;639,72;572,71;570,31;623,14;639,70;668,18;679,39;691,82;717,65;673,05;650,55;706,41;611,05;717,35;708,07;721,32;677,21;716,87;787,86;778,93;730,29;785,30;770,76;841,10;621,34;735,65;721,22;791,47;905,38;824,18;868,65;868,08;820,53;803,30;728,37;799,29;703,54;744,08;712,84;771,55;670,02
"230423 Croatá";...;...;...;...;...;...;...;208,27;311,98;322,45;404,27;342,92;348,15;377,92;349,73;339,38;358,76;388,83;331,20;398,79;407,49;324,41;373,60;404,10;469,83;444,51;426,56;429,89;410,30;397,57;376,15;340,23;353,24;366,17;393,65;385,11;324,76;370,05;326,68;285,54;404,75;326,86;260,80;363,87;338,49;318,85;333,02;324,80;382,89;354,01;346,42;342,60;330,70;316,93;241,82;325,39;338,29;275,97;306,88;304,11;334,82;355,52;420,38;288,77;452,68;383,84;373,60;285,93;312,67;321,48;302,17;372,49;351,11;338,53;252,99;253,96;357,38;323,65;311,37;245,59;261,36;266,83;313,78;287,47;322,37;343,10;350,98;304,89;278,86;307,95;186,03;284,74;361,63;422,06;323,24;358,30;295,16;328,67;309,21;329,67;356,68;266,43;302,13;341,05;336,03;332,21;414,40;409,97;...;467,00;299,66;345,16;434,01;509,50;615,17;451,40;368,75;376,75;335,18;476,05;363,03;283,95;378,47;356,88;318,88;372,22;328,83;402,41;379,60;305,97;377,24;394,72;446,99;389,45;229,63;374,19;322,35;327,73;285,27;380,68;371,40;428,02;331,17;389,48;362,12;432,23;383,19;416,03;364,45;345,28;351,61;322,22;358,58;419,03;344,76;394,90;423,72;420,15;288,33;374,11;339,97;330,56;357,38;424,18;346,48;246,01;522,18;349,55
"230425 Cruz";...;...;...;...;...;...;348,13;338,32;389,22;378,30;425,06;416,08;436,72;423,13;424,65;379,73;409,61;409,35;403,46;431,20;404,52;378,75;422,24;478,45;461,10;457,34;479,52;454,05;458,22;492,15;431,67;449,22;445,43;425,34;442,74;392,32;420,49;456,98;459,46;463,90;429,68;514,83;470,76;369,27;375,14;405,96;416,12;431,34;435,57;381,83;447,10;416,55;428,05;428,18;417,29;423,40;397,32;404,72;454,18;412,99;414,15;404,72;452,31;446,06;440,93;486,01;404,08;455,75;439,45;370,80;391,09;406,40;368,37;402,06;400,02;436,59;461,77;456,60;435,20;427,10;428,18;416,69;451,63;417,87;418,82;446,14;403,87;401,79;428,31;446,33;433,27;448,62;479,93;512,80;479,18;435,18;493,84;440,43;458,41;473,56;502,22;466,79;480,70;453,76;411,72;471,31;410,71;453,66;440,41;527,69;452,29;444,85;445,76;491,07;420,90;412,77;439,80;460,46;443,09;411,09;430,00;432,58;427,24;420,98;386,88;405,21;359,22;378,07;384,20;387,85;405,25;409,27;381,64;371,90;365,16;434,66;399,66;384,86;340,06;386,20;379,87;389,02;382,09;465,88;420,31;453,76;423,80;468,75;502,94;432,76;408,27;410,95;395,48;437,25;399,02;540,26;753,13;743,51;494,25;431,12;378,30;437,16;392,60;479,53;638,68;674,64;1043,66;437,56
"230426 Deputado Irapuan Pinheiro";...;...;...;...;...;...;...;381,93;414,58;342,86;352,88;396,65;318,99;384,44;408,26;300,07;375,86;295,36;295,36;292,62;302,76;323,06;391,25;365,24;420,93;353,81;472,52;416,81;375,34;414,54;405,84;387,95;395,07;348,14;364,16;359,51;399,05;457,34;344,31;400,65;339,47;439,00;392,19;407,73;374,64;395,22;397,37;419,05;461,15;324,59;252,29;380,21;400,55;460,43;292,92;469,37;386,70;389,08;461,20;369,17;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;322,48;384,47;326,42;602,78;341,35;320,26;...;...;340,47;307,04;348,70;369,79;372,77;366,72;369,28;312,63;307,21;400,28;289,21;352,66;365,48;326,15;407,22;339,97;405,98;350,77;365,12;597,34;393,97;358,73;292,62;386,25;386,62;364,32;293,22;470,80;497,02;379,51;333,96;355,89;345,97;463,31;413,05;354,76;339,03;411,73;455,64;412,56;371,51;415,55;413,86;338,52;465,40;472,98;438,39;456,25;467,71;421,61;334,87;399,66;365,70;471,69;445,12;468,54;351,46;411,08;482,84;399,27;419,75;533,26;366,65;484,36;563,19;950,43;1028,07;558,15;458,61;801,14;1089,36;1300,86;1080,56;469,89
"230427 Ererê";...;...;...;...;...;...;...;310,14;384,07;406,91;423,09;368,99;357,40;357,75;472,00;554,69;...;246,09;189,67;189,67;...;582,42;357,06;343,98;358,32;359,95;437,52;432,77;354,81;...;582,42;292,62;323,40;442,90;489,91;582,42;355,63;...;...;352,39;324,90;327,87;246,96;399,98;321,77;332,84;380,95;402,36;292,62;339,26;311,09;434,92;322,91;311,39;277,83;292,62;582,42;392,35;294,13;313,32;...;...;394,86;512,05;44,22;289,82;563,85;500,19;339,45;284,59;199,82;338,84;335,33;369,95;254,01;245,72;267,83;279,82;335,47;307,89;378,80;243,14;363,47;233,52;319,15;...;582,42;508,55;...;123,99;582,42;168,42;214,78;310,24;292,62;437,52;379,75;...;270,38;463,21;...;237,44;292,62;...;...;199,33;451,98;308,76;207,90;324,10;185,06;292,62;379,75;186,06;326,11;...;263,85;416,73;329,57;369,17;463,21;425,94;177,07;...;292,62;186,06;...;...;273,43;...;204,50;292,62;182,57;865,91;582,42;582,42;44,22;480,87;186,06;218,68;204,15;204,15;44,22;193,66;...;193,66;...;...;413,41;136,95;...;582,42;865,91;...;865,91;582,42;157,99;443,40;...;...;...;...;...;...;582,42;537,21;852,08;352,29
"230428 Eusébio";...;...;...;365,25;487,95;458,97;368,73;378,59;395,79;444,28;436,76;432,55;457,68;476,07;436,83;402,35;418,77;368,17;401,80;466,05;432,67;436,36;444,31;441,62;442,17;402,83;435,02;435,16;430,38;417,35;412,37;406,35;421,68;417,96;411,01;428,32;447,84;449,99;432,99;424,78;365,05;377,95;374,00;378,15;447,50;456,05;413,29;456,06;412,22;426,20;440,22;456,52;471,15;424,10;437,59;482,23;407,31;541,88;467,13;429,22;466,07;468,45;472,63;454,81;466,48;468,90;487,87;453,85;425,19;452,18;...;438,15;512,32;486,29;457,75;444,11;452,60;473,35;505,42;490,57;525,31;508,17;527,54;517,31;529,02;521,47;485,59;520,44;533,32;548,19;534,80;541,02;520,75;549,65;539,80;535,83;540,44;537,56;528,95;560,85;531,60;530,00;568,40;547,46;506,19;532,87;553,24;524,08;533,93;557,96;550,66;562,32;561,40;543,55;534,28;564,43;556,97;561,89;546,43;548,81;543,62;554,50;560,41;549,02;531,97;557,23;555,79;549,18;551,56;537,23;546,23;558,86;551,58;563,37;564,25;565,22;557,54;557,61;551,46;550,70;549,00;532,64;544,65;547,26;551,29;549,27;557,04;553,46;551,75;541,69;540,94;547,34;557,37;545,06;547,47;524,27;669,75;548,27;560,97;557,36;559,86;584,37;581,51;584,27;567,28;578,53;566,83;527,76
"230430 Farias Brito";...;...;...;547,40;358,23;336,01;426,87;369,11;319,39;331,45;359,97;370,79;419,43;375,93;316,12;335,15;353,21;342,97;304,26;355,05;352,55;336,23;360,56;365,63;407,48;377,00;334,21;404,51;391,29;337,44;395,86;333,70;379,34;354,10;374,56;351,27;350,91;378,91;378,01;423,23;368,24;299,94;363,58;368,14;391,28;379,95;403,21;354,42;404,92;415,04;427,45;342,32;400,90;371,57;392,05;414,03;443,55;396,19;402,61;448,44;423,92;434,29;356,21;330,36;382,01;312,25;365,92;383,91;313,51;377,65;356,14;412,25;378,70;351,52;343,10;389,54;362,60;356,20;379,30;389,96;377,45;409,14;398,18;377,87;367,22;392,32;371,84;446,59;433,00;464,51;427,62;450,91;430,47;417,41;405,43;510,05;479,59;422,66;438,87;405,33;425,30;473,67;477,30;468,74;267,32;458,61;526,90;486,39;455,80;486,51;472,94;477,75;443,85;461,19;500,51;412,17;398,04;476,70;480,21;491,09;435,53;399,28;469,56;452,87;467,85;452,19;453,68;446,79;415,56;455,26;451,32;458,34;453,81;485,73;458,71;405,02;410,31;496,64;466,13;386,45;425,27;441,09;498,11;488,86;468,88;439,29;502,48;443,42;452,81;470,93;463,67;447,26;421,45;452,43;500,33;422,48;434,45;437,99;504,75;741,42;753,31;484,67;488,40;373,43;...;...;...;416,47
"230435 Forquilha";...;...;...;...;...;...;...;...;...;...;...;...;...;413,09;413,09;413,09;413,09;...;...;453,40;453,40;...;...;453,40;453,40;453,40;453,40;453,40;453,40;...;...;...;...;...;498,60;480,20;471,00;471,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;441,60
"230440 Fortaleza";...;3044,68;...;4530,89;3803,23;3679,49;3100,35;1786,01;1171,98;959,19;1014,39;981,29;972,29;997,15;1039,67;1084,53;1100,39;1205,58;1251,15;1246,10;1219,26;1151,99;1147,05;1197,41;1201,84;1201,09;1200,73;1236,60;1235,70;1237,16;1242,94;1243,46;1276,52;1260,68;1240,08;1220,59;1252,57;1184,06;1211,31;1266,51;1274,35;1268,32;1253,19;1304,30;1219,89;1288,81;1273,26;1245,30;1292,44;1326,16;1335,17;1334,97;1308,53;1359,78;1349,58;1291,55;1342,51;1346,50;1305,29;1482,71;1354,31;1423,30;1467,05;1505,56;1449,92;1510,58;1409,53;1469,82;1519,68;1586,51;1467,42;1621,97;1566,44;1487,00;1493,48;1545,92;1588,71;1581,00;1576,86;1621,59;1635,63;1613,43;1614,74;1601,18;1612,42;1695,49;1582,90;1611,81;1583,58;1580,53;1572,87;1669,48;1541,21;1633,13;1611,32;1589,49;1453,32;1581,78;1589,26;1692,74;1630,99;1648,30;1650,05;1669,23;1626,27;1560,52;1581,80;1530,42;1640,16;1670,50;1668,82;1739,33;1682,51;1609,06;1683,64;1689,60;1615,93;1636,65;1680,00;1701,79;1663,17;1780,83;1773,32;1757,94;1774,41;1844,26;1748,38;1803,77;1810,46;1745,20;1758,21;1727,80;1778,28;1660,88;1663,87;1763,20;1688,61;1771,05;1727,05;1726,24;1778,57;1727,11;1769,74;1796,31;1810,27;1775,24;1831,86;1783,00;1818,54;1816,06;1831,57;1824,22;1822,40;1865,17;1739,68;2257,98;2524,72;2263,93;2049,83;1883,37;1892,39;1924,82;1974,33;2006,83;1904,72;1654,93;1321,04;1543,99
"230445 Fortim";...;...;...;...;...;...;...;328,00;339,34;333,60;351,61;352,40;369,01;362,23;377,04;303,25;284,67;302,23;189,67;368,88;389,15;363,68;382,86;462,77;437,55;373,14;426,46;388,04;338,77;332,43;366,37;356,10;354,66;399,06;385,24;370,67;320,51;405,76;375,76;348,88;348,93;335,73;341,13;321,57;319,11;393,54;407,18;357,37;339,32;286,72;253,61;313,69;260,88;331,22;283,02;390,63;382,42;307,32;325,95;...;313,97;391,88;390,77;346,11;347,99;333,49;397,43;424,79;458,06;433,98;364,39;353,39;381,65;334,28;335,39;358,12;336,52;322,65;396,59;256,61;321,74;312,17;316,89;415,65;432,52;375,78;392,89;471,61;443,40;382,46;451,23;236,03;496,34;355,12;292,62;274,11;...;402,63;218,68;353,25;351,93;406,77;440,78;470,66;395,27;343,64;267,85;411,04;416,06;390,42;415,28;412,44;292,09;230,62;370,08;218,68;393,97;509,69;401,45;409,72;384,24;444,90;333,34;321,03;463,46;552,62;273,53;463,25;306,65;512,73;421,24;492,35;465,49;402,28;315,53;245,52;368,80;409,44;414,23;514,87;308,92;261,27;425,47;452,18;440,74;378,94;496,20;362,01;513,60;304,99;410,11;...;480,88;417,01;336,72;243,14;502,23;464,78;281,41;289,63;326,79;444,46;392,26;319,00;341,40;1167,03;1384,74;382,28
"230450 Frecheirinha";...;...;...;...;...;210,55;427,37;376,71;354,92;390,42;373,50;366,14;375,49;386,93;380,27;384,36;380,94;422,47;376,54;426,48;396,50;372,99;412,01;433,53;428,33;398,05;435,70;483,68;445,32;451,87;449,11;445,77;410,56;421,48;437,93;447,05;370,06;431,53;399,12;380,07;363,09;373,03;317,29;364,17;374,76;318,53;372,45;371,17;344,28;431,57;341,91;438,27;410,79;357,73;347,51;321,48;341,93;307,27;384,87;419,91;401,43;424,45;334,90;369,87;352,21;...;...;...;433,04;357,68;369,70;387,76;431,62;348,57;346,52;420,52;354,37;362,38;305,24;485,81;376,96;399,22;399,95;406,52;308,62;441,37;313,51;364,49;...;422,20;443,25;303,62;313,12;293,64;422,78;417,02;472,54;349,64;351,36;356,71;316,76;303,51;283,34;388,00;342,09;334,96;348,48;280,64;366,80;365,54;401,31;347,82;396,95;349,16;306,94;501,91;376,21;448,28;582,42;425,92;497,11;372,24;351,16;406,85;387,33;315,33;292,62;...;381,98;332,23;364,08;389,02;408,32;350,68;449,26;458,93;322,39;394,19;482,10;405,06;498,28;329,03;497,40;476,32;530,40;478,76;360,87;416,67;455,95;431,08;416,27;398,29;435,29;457,17;517,75;522,00;412,84;752,36;932,97;636,77;472,34;363,81;343,37;313,51;358,43;605,24;1100,73;417,02
"230460 General Sampaio";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;368,01;440,46;138,74;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;405,51;486,62;357,62;336,81;343,31;353,46;382,53;395,91;427,41;378,72;303,90;362,78;463,65;351,99;399,99;522,39;360,17;865,91;406,31;489,73;443,77;388,61;402,10;235,45;509,84;297,49;479,14;338,32;383,35;454,88;416,15;467,79;453,52;510,73;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;404,56
"230470 Granja";...;...;...;446,61;379,66;445,67;383,81;403,14;370,79;383,45;420,62;386,81;402,60;407,14;390,39;383,26;411,00;419,02;408,36;417,01;423,19;366,73;401,95;449,99;407,13;392,55;397,03;420,99;418,40;424,55;443,14;389,87;406,32;403,80;454,24;397,39;414,48;381,50;398,51;403,18;406,29;389,07;352,99;339,73;388,31;374,60;418,99;403,07;393,76;406,08;409,53;381,21;385,46;380,58;388,35;417,81;399,12;435,20;437,73;430,77;407,09;412,46;427,17;396,26;409,78;420,55;419,15;389,48;416,82;381,01;385,75;408,44;467,15;448,39;407,64;396,21;414,42;455,95;426,88;413,91;412,29;402,99;397,72;460,60;430,99;426,19;419,39;374,26;409,10;397,03;435,24;403,12;453,90;452,67;473,42;490,58;479,71;463,16;462,45;433,94;447,85;481,66;431,30;443,16;419,22;448,28;478,40;466,82;439,22;467,22;447,85;456,36;428,29;425,83;443,16;463,10;457,18;450,24;486,39;468,65;454,08;470,91;513,41;469,67;416,38;468,79;483,30;448,91;430,71;463,39;489,43;498,51;473,81;498,64;480,71;517,22;473,74;469,04;458,43;468,50;489,93;519,26;476,35;513,94;503,12;453,26;490,21;482,86;496,35;502,43;486,98;496,69;464,00;484,67;475,27;453,44;462,26;511,56;504,13;481,13;457,68;467,72;462,15;518,49;441,55;470,75;499,04;433,53
"230480 Granjeiro";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;456,45;482,20;439,38;202,72;381,65;455,90;350,67;335,69;364,19;400,03;387,67;372,95;444,25;397,28;424,58;375,92;287,01;439,96;422,15;385,89;310,24;390,95;...;...;287,76;347,15;290,77;226,41;330,27;767,03;762,44;694,74;859,83;316,11;392,43;825,20;1003,64;439,62
"230490 Groaíras";...;...;...;...;...;...;...;...;311,36;410,46;353,90;434,51;355,40;429,50;437,98;342,80;495,72;295,36;425,69;...;430,29;363,05;390,89;477,65;525,98;392,31;391,98;382,59;388,20;366,01;339,74;347,57;311,66;398,49;372,33;373,85;364,47;365,60;380,15;339,60;360,26;...;389,22;296,95;375,11;380,05;428,23;411,45;358,90;350,65;311,11;...;204,50;335,38;370,81;420,33;360,22;314,92;354,65;374,09;361,50;364,33;334,46;316,97;352,16;457,18;349,59;...;405,16;316,73;330,99;396,71;296,37;386,78;385,04;305,31;282,23;333,68;567,63;350,99;403,61;533,79;368,85;374,29;353,53;291,33;321,01;233,87;337,48;457,50;277,93;360,80;357,04;282,89;370,90;444,77;330,67;226,56;255,57;243,00;297,71;181,12;248,56;292,62;318,20;349,25;264,53;438,84;433,10;304,18;342,67;487,57;375,42;308,76;292,62;...;267,93;301,54;182,57;371,10;494,00;341,04;473,57;313,90;264,34;333,87;275,16;428,40;398,58;353,37;366,35;356,40;318,14;446,94;405,96;445,40;424,76;351,87;427,51;166,50;395,07;386,01;359,10;371,04;406,45;454,83;245,06;395,14;310,86;485,59;358,28;240,91;449,52;376,06;338,03;330,60;1500,00;992,86;1153,91;1081,21;306,65;...;...;...;...;...;...;383,99
