 Procedimentos hospitalares do SUS - por local de internação - Ceará
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Município";"2000/Fev";"2000/Nov";"2003/Jan";"2005/Fev";"2007/Jan";"2007/Fev";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"230420 Crato";-;-;-;-;-;-;-;1850,73;2369,11;22545,22;103392,43;456296,23;792239,64;712105,73;684916,00;780767,20;755347,73;687250,53;694520,29;631048,13;776798,56;907957,98;915698,56;793668,25;824257,40;707869,43;880994,46;893624,81;818733,71;836178,85;884444,13;854747,56;827155,14;851140,63;773514,30;945512,07;967149,76;862145,06;968065,65;857600,56;651146,98;930319,21;872122,78;948646,43;924591,07;929644,45;829555,36;836249,89;918413,85;799446,37;978570,30;960605,12;938603,36;801386,06;890859,30;940411,65;906807,48;989024,18;960326,77;878421,95;870404,00;695795,82;867565,68;765693,25;941747,70;758883,07;870019,46;952493,48;853722,02;902059,39;847233,13;921732,29;944789,17;925972,58;866036,91;875848,02;908555,15;763354,49;901144,33;901227,31;861016,09;838315,35;797337,89;754464,10;1018014,93;953859,26;832687,48;822097,69;898638,57;830376,12;754082,75;811355,95;842869,43;789196,18;778477,24;666141,91;855480,64;570564,86;830638,57;766298,37;821961,89;720000,51;765750,02;775444,49;793226,62;770218,12;795984,91;600872,50;602048,09;507511,02;606700,89;615066,76;698502,70;582876,40;564630,69;571397,95;585629,96;539337,34;541187,66;583895,29;546116,87;471930,35;565246,14;495562,69;503850,80;473442,95;448844,47;490942,10;493810,56;526599,75;500944,16;582784,18;477064,53;492744,49;613793,77;652490,81;738339,13;704529,26;659997,50;753530,63;722183,90;820996,90;794002,07;633657,67;824950,74;686122,71;776143,48;730710,46;778519,48;764224,33;753220,58;744895,14;716975,13;840129,55;857926,87;657375,82;834224,45;757999,15;867450,62;763235,27;698908,26;785256,63;823812,25;774582,42;849893,72;828880,70;931971,97;696502,59;729938,31;677912,98;606441,44;122927103,57
"230423 Croatá";-;-;-;-;-;-;-;-;-;-;-;208,27;6239,63;3224,55;16170,88;13373,81;14274,18;3023,34;16087,36;15271,98;10404,02;9331,84;12254,39;7975,72;3667,39;8759,12;14570,24;11314,78;17853,57;17780,21;17915,57;22784,24;19694,42;19083,55;16926,71;18712,40;16249,12;20139,18;22044,52;16174,79;18511,57;14802,17;17314,23;14277,01;17404,38;16342,97;12778,98;20740,56;15908,87;17536,50;17983,16;13966,61;19527,61;12390,40;18706,64;13704,12;11905,09;12043,44;5803,61;2277,73;7104,11;5795,36;11047,80;12468,49;13057,88;9243,51;13031,71;7796,72;4074,11;6909,04;10460,81;8006,15;11881,59;11251,73;12388,95;19741,87;27386,48;17265,24;12143,43;10158,53;13937,79;14240,62;10275,13;8595,55;9409,01;8805,27;11295,91;8049,21;12250,16;11322,36;9125,36;8841,87;8086,83;8622,58;3162,50;2847,41;8317,38;3376,46;3878,88;4657,88;6198,46;2958,00;4947,43;3296,70;1070,04;799,29;2114,89;2387,36;7056,65;7308,69;8288,09;4919,70;-;7472,07;3296,29;10700,05;6510,08;6623,54;4306,19;451,40;2950,02;1506,99;2346,25;3332,38;3993,30;1987,62;1892,34;2855,08;7653,02;7444,46;7891,81;6438,49;8351,25;7649,23;15466,65;14210,06;13856,59;12072,90;5051,93;10103,05;6446,94;7537,73;5705,41;6852,29;2971,19;8988,42;6623,46;4673,76;13036,47;10805,78;13794,93;16641,35;12026,88;9667,71;15119,24;9666,45;13984,75;8799,67;12755,97;7898,10;11864,10;10503,80;4613,27;6359,81;9519,03;5950,00;7504,90;9756,04;7622,55;3690,10;3133,10;1588018,64
"230425 Cruz";-;-;-;-;-;-;-;-;-;-;1392,54;1353,29;17125,84;24589,55;32729,44;30789,69;29696,69;16925,01;25054,10;26960,97;26214,81;25379,64;16138,42;25440,87;35193,49;34466,26;48980,28;39711,49;42882,73;33842,82;46033,79;34053,93;37573,95;40356,44;28490,37;34590,06;26280,55;27647,02;36747,75;29031,36;28593,17;26962,00;30324,40;29225,91;25351,08;20593,15;25891,80;23263,76;31511,70;32476,79;32041,16;30624,93;35281,44;24819,25;31296,85;19994,39;17978,01;21409,15;24202,69;16512,79;17084,88;14569,95;24071,59;16932,72;17808,26;22664,60;17640,04;14719,96;17637,24;15066,31;11718,19;10938,02;18896,19;17056,95;14470,31;18694,40;15103,01;20907,07;16800,67;27068,56;20317,75;21003,49;16537,66;13240,05;16270,76;16667,71;24388,04;22565,10;23035,09;20076,26;15750,86;16473,57;10707,69;10712,00;7365,66;7177,96;8638,71;9230,31;11979,50;9138,84;11358,29;9689,46;5959,28;8997,56;11550,98;12136,62;10094,79;9075,22;9057,88;7541,02;6982,12;12248,75;4844,46;6859,99;6332,00;8007,36;15155,72;10803,58;5892,56;6191,58;12754,10;16116,27;24370,00;21376,72;24940,16;19466,11;15380,74;14313,39;13540,94;21476,08;17601,54;16256,92;23820,28;22495,49;22288,79;24556,42;20227,05;14503,91;21909,45;24775,55;23180,19;23861,33;22104,18;24330,59;30389,51;30732,52;32860,14;34940,85;23117,30;22234,15;22461,34;30000,14;22129,22;24667,32;24904,29;21369,22;24519,86;32356,67;25138,44;21070,30;30125,07;29740,51;19275,88;18537,95;26102,39;28415,52;28267,12;27812,45;33211,57;46550,28;78274,71;3508783,64
"230426 Deputado Irapuan Pinheiro";-;-;-;-;-;-;-;-;-;-;-;1527,70;2487,47;2057,13;4234,52;2379,87;2232,92;5382,09;4490,85;2700,61;1879,30;295,36;2362,88;292,62;3935,90;2584,48;1956,27;4017,61;7155,74;6014,83;5197,74;6252,13;4504,07;4145,37;4464,20;3491,53;3555,65;5222,16;2549,13;3235,57;5586,75;4573,38;3098,79;3605,82;1697,35;3072,99;4706,22;6931,33;10490,01;3161,75;1986,86;2933,32;5533,85;4219,65;1009,15;3421,88;1602,20;7366,88;2636,24;2816,22;3867,03;3501,71;3228,37;2584,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;322,48;1537,87;2937,78;6027,76;3072,12;1601,28;-;-;3064,26;3377,49;1743,52;5546,90;1863,87;2567,03;4431,40;5314,76;5529,80;2801,95;2313,68;5289,96;6944,06;8479,82;6108,27;4079,62;4871,76;2455,41;5111,70;4181,36;1969,84;2152,41;292,62;4248,72;6185,91;2550,26;2052,54;2824,79;4473,22;3415,60;2671,65;5694,21;1729,85;2779,84;4956,54;2483,33;4068,38;5352,43;4556,45;7426,09;3343,62;3324,44;3724,70;6093,33;3723,21;4256,78;3507,09;2737,50;8418,81;4637,69;2009,24;3996,63;4022,72;3773,49;4451,20;3279,75;4568,94;4521,91;3379,88;4791,21;2518,51;6399,10;5866,42;4843,62;6195,04;24711,16;25701,81;8372,23;5961,92;16823,85;23965,90;55937,06;25933,55;663490,53
"230427 Ererê";-;-;-;-;-;-;-;-;-;-;-;620,29;1152,20;2441,47;846,18;1475,94;1072,20;2146,47;2831,98;554,69;-;984,38;189,67;189,67;-;1747,26;2142,36;1375,91;3224,91;3239,52;875,04;1298,31;1064,43;-;582,42;292,62;2910,63;2657,40;2449,54;1164,84;3200,68;-;-;1761,96;324,90;2295,06;2222,65;2399,88;1930,65;1331,35;4571,46;2414,14;292,62;1357,05;1244,37;2174,62;1291,66;1245,55;1389,16;292,62;582,42;2746,43;882,38;626,64;-;-;3158,85;2048,19;44,22;869,45;1691,54;1500,56;2715,63;2561,34;599,47;8809,85;4359,30;1849,74;1016,05;491,43;1071,31;839,47;3354,72;2771,02;3409,23;2188,25;1453,89;467,04;957,45;-;1164,84;1525,64;-;123,99;582,42;336,84;429,57;1240,94;292,62;875,04;759,49;-;270,38;463,21;-;474,88;292,62;-;-;199,33;903,96;617,52;623,70;1620,48;555,18;292,62;759,49;186,06;978,32;-;4749,38;3333,86;2636,54;1107,51;463,21;1703,74;177,07;-;292,62;186,06;-;-;546,86;-;204,50;292,62;182,57;865,91;582,42;582,42;44,22;480,87;186,06;218,68;204,15;204,15;44,22;193,66;-;193,66;-;-;413,41;136,95;-;582,42;1731,82;-;865,91;582,42;157,99;443,40;-;-;-;-;-;-;582,42;1611,62;1704,15;168395,19
"230428 Eusébio";-;-;-;-;-;-;-;2191,47;6343,37;18817,93;16224,26;26501,43;35225,39;33320,68;39308,59;51040,73;65447,60;58080,14;41499,27;28566,88;31407,65;22458,19;26117,16;46138,86;35478,88;26617,72;45764,42;38862,69;42006,01;26989,57;32191,62;36118,29;41316,88;42987,50;34638,84;30476,13;31626,27;35944,41;31647,95;41546,84;38514,37;39599,30;36803,83;33982,24;21537,89;20787,19;29172,37;17394,82;28192,46;26450,90;28103,42;43325,65;30092,32;28129,26;25092,49;23739,03;18845,97;17388,29;12690,20;13502,47;23216,40;22758,93;13079,65;14164,14;18642,89;25764,50;25994,76;20466,63;13994,29;26258,42;20490,58;15884,90;26361,83;11304,47;-;36366,60;28177,85;26746,20;36162,20;36417,27;36660,33;52068,58;58122,96;52490,89;47802,97;53357,46;56446,44;76044,46;76178,28;82392,85;65069,33;70780,33;101331,60;120054,55;53480,42;43281,56;40618,85;56064,13;98783,54;99664,55;79444,88;97835,27;86219,40;102075,13;114294,83;111299,58;65366,27;45986,22;72890,68;100713,02;101242,48;83329,21;106786,07;113823,66;96364,98;98406,48;99367,16;80989,42;95636,90;102162,32;105824,22;90464,37;115843,86;138299,85;144602,91;161914,75;160276,21;152628,55;133525,70;150451,57;142837,10;152123,00;144510,03;147737,99;166054,05;191688,54;180917,50;209574,78;209902,66;201218,35;203503,69;193490,65;156614,24;137673,85;165249,69;146476,71;168297,24;184973,41;189092,60;184005,42;204990,53;190391,83;172146,71;200426,13;221784,52;204157,22;220719,16;197312,18;175189,79;142602,43;192887,67;133778,27;160437,89;172782,70;139963,76;146092,74;147704,20;151911,02;115724,56;81572,40;61784,80;13557562,64
"230430 Farias Brito";-;-;-;-;-;-;-;1642,19;3582,32;5376,23;9818,03;10704,06;13094,82;14252,47;13319,04;14831,57;13841,21;18796,60;8219,13;13070,84;11655,77;8917,10;6085,25;6390,82;14454,37;16138,94;40382,95;21937,77;28523,61;24505,03;16376,15;12539,92;12521,15;13160,19;33252,46;18686,97;18208,17;12393,54;20600,77;15807,28;18247,38;20082,32;19656,38;20738,31;4787,14;1799,67;3635,81;14725,50;39519,72;18997,35;25805,14;27290,65;35227,93;20752,15;6839,14;6846,37;30468,11;36413,50;24699,34;23185,68;29718,03;20205,57;24156,60;33184,25;22467,82;31269,15;14604,69;14535,76;15280,27;15300,07;13904,78;17659,79;15362,05;18127,22;11752,72;17726,59;19313,79;16872,77;7891,23;11296,74;14141,30;16741,18;13275,54;13258,51;12833,24;18002,21;24687,25;17004,15;20197,09;12946,42;16732,88;16970,56;19051,83;18580,46;17959,84;18036,54;14636,00;15861,51;13784,46;18871,72;21101,83;17751,53;25454,55;12565,18;17437,46;17525,62;17660,08;20624,67;4544,45;16051,42;17387,68;26264,90;27347,90;20433,50;22228,09;26276,28;23079,97;21214,78;24524,80;9479,84;7562,70;13824,44;30733,54;35849,52;16549,95;15571,92;23008,31;20379,11;21053,18;22609,64;23591,39;10723,00;17453,70;18665,64;24822,50;30250,49;31766,98;28172,30;30274,66;28351,45;21746,60;36254,99;32163,17;13525,60;24665,53;26024,20;39351,04;40086,78;29070,68;26796,48;32158,96;18180,10;21734,96;30139,51;27820,23;21468,38;18543,92;15835,06;30520,25;7604,68;5213,36;10949,80;17161,49;11862,74;13559,58;4846,74;6349,21;1120,29;-;-;-;3021930,17
"230435 Forquilha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2478,54;1652,36;3717,81;2478,54;-;-;906,80;1813,60;-;-;453,40;2267,00;906,80;906,80;1360,20;906,80;-;-;-;-;-;997,20;1440,60;1884,00;1884,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26054,45
"230440 Fortaleza";1309,80;1401,46;726,49;841,93;-;3044,68;42,24;154050,38;338487,12;1041296,59;2939129,14;5643797,78;20527233,15;15078526,16;16837904,72;17476762,38;17842547,73;16769139,79;17354192,90;16732112,82;17446711,12;19061478,64;18259266,44;17896529,77;18426682,77;16150854,55;19636304,88;19453064,85;19420578,95;18768160,50;19647557,71;19266241,40;18862986,30;19239027,91;18472627,05;18230368,73;19620073,02;17662107,49;20855733,08;19458646,73;21248639,64;18901171,49;19754041,39;20940514,52;19709076,45;20173857,18;19182652,60;20052254,97;19843948,21;20120967,27;21672206,46;20477758,80;22417333,33;22039505,40;21516291,61;22794558,10;20864434,27;22528818,87;20598664,05;19346189,71;21758035,89;19100090,47;21056999,32;23151079,88;23453951,54;22056872,39;22221398,56;22697819,37;21174697,48;23604255,93;21696855,78;20671584,80;24644578,99;22737798,62;22637895,00;25836436,65;27321848,18;24331726,58;26601842,31;27959419,10;28210686,01;27754371,95;26505517,20;25856271,83;28818106,39;26456976,05;27909184,94;27852510,57;28959072,17;28070476,22;28810335,98;27634450,09;27386359,39;27431743,45;26444734,01;27042306,47;26582755,90;25692449,74;29201971,06;27870063,06;27009964,56;29259815,34;29514152,10;31310604,75;28157344,52;29336384,31;27511213,53;26595893,40;28040108,05;25823510,47;28714464,92;27536874,12;30559465,86;31021154,01;30187272,28;31761852,46;29492748,48;28110312,89;29317136,28;28312585,71;28559951,45;26055434,64;30211472,58;28014907,55;30474208,36;31185863,20;30853919,83;30714673,50;28704698,62;31439170,38;28421631,50;28241698,84;31590651,45;26670187,30;30436297,01;31604872,21;32563874,00;29254818,85;29453797,31;31889213,86;28493671,38;32895552,90;29755315,08;28388040,53;32343335,17;29929073,22;31416503,02;32565284,45;34912932,63;31315320,15;34816411,14;32348902,04;32419047,91;33640683,24;31709997,48;30464527,32;33761692,55;31174381,54;28984865,99;29398924,54;36537811,73;32335760,41;32352540,25;30120784,21;31231979,92;32340843,58;32892301,77;32317946,53;27605071,53;16454937,19;7363495,80;4070168098,47
"230445 Fortim";-;-;-;-;-;-;-;-;-;-;-;328,00;13912,80;12009,53;10548,25;19029,80;14391,43;14851,46;14327,70;10613,85;11102,16;8160,16;189,67;2951,00;9728,63;10546,76;12251,49;11569,29;11813,92;9701,69;7676,23;776,08;11179,40;8310,85;8060,18;7478,01;4965,23;6784,07;5778,63;8525,42;3846,16;4869,11;3757,64;6977,54;4536,10;4364,43;3070,19;4501,97;5105,72;4328,90;4886,14;5717,95;5768,41;2580,44;2282,53;3136,94;2087,07;2980,98;4245,37;3515,70;3441,82;2458,58;3911,45;-;3139,72;5878,26;7815,41;3461,11;3827,84;3334,86;1589,73;2548,76;5038,70;4339,81;2186,35;1413,55;5343,13;3677,09;5701,63;2506,81;5384,38;5484,97;2379,57;2052,87;3539,10;3433,90;3485,77;6234,79;3892,72;3757,84;2357,36;943,22;886,80;2294,75;2256,14;944,14;1489,03;1775,59;292,62;822,34;-;2013,13;218,68;1413,01;1407,72;2847,38;1322,35;1882,63;790,55;3092,79;1071,40;2466,25;2080,30;3513,81;3322,28;2887,11;1460,44;922,48;1480,34;218,68;3939,73;3567,81;3613,05;9833,32;3842,38;4004,13;2666,74;2247,19;1853,84;2210,47;1641,20;2779,48;3373,19;3589,08;2527,43;3938,81;7913,41;3620,49;4733,00;3437,23;5163,26;3684,97;4556,53;2574,33;3089,23;2874,01;3403,78;5426,19;5288,84;4926,21;3473,40;2534,06;1540,80;3659,89;1230,32;-;1923,52;3336,11;1683,58;486,28;1506,69;929,57;1407,04;1448,15;2614,33;4000,15;3922,56;2871,04;2389,80;17505,41;29079,48;713716,33
"230450 Frecheirinha";-;-;-;-;-;-;-;-;-;1263,27;5983,14;12808,01;26263,87;27719,72;21289,68;17574,91;27410,57;17024,79;13689,87;8455,93;8380,57;9716,77;8283,96;3838,32;19824,97;12681,56;7416,20;16040,79;17561,50;25475,03;11328,12;19830,72;11578,31;17171,15;15718,77;7132,29;13137,81;11379,83;11386,09;17881,96;8141,43;3883,75;5587,67;11022,13;9077,33;7087,51;7614,92;6555,12;8244,78;5096,48;10056,18;12619,80;7229,92;7336,74;8889,75;8765,37;7394,18;6796,95;7297,77;4822,26;4445,04;4916,24;8851,98;7558,46;9634,30;7215,66;6028,13;7027,47;2113,27;-;-;-;433,04;2146,07;3327,29;3877,62;5179,38;5228,52;6583,87;6728,34;4252,49;5073,37;2441,91;5343,86;4523,56;3592,97;7599,13;2845,62;617,24;1324,12;940,52;1093,48;-;1688,79;2216,26;1214,47;1252,46;2349,13;1691,12;3336,16;4252,90;1748,20;4567,73;2496,97;633,52;3642,12;4250,07;3103,97;4105,06;3684,58;3136,33;2525,77;3301,18;2558,81;2407,85;4173,89;2778,66;2444,11;1534,72;1505,74;5643,11;2689,68;1747,26;8518,48;5965,37;6700,32;4565,05;2441,13;3098,68;1576,66;292,62;-;4201,78;2990,11;9830,27;7391,45;9391,35;4208,19;4492,64;2753,58;3223,92;7095,44;6749,39;8911,42;12955,31;7896,69;11937,57;9526,33;7956,03;9096,42;7578,36;9166,70;9574,93;9052,62;10406,84;5974,38;10011,63;6400,32;9319,47;6263,99;9495,31;17304,30;29855,13;8914,75;8974,53;8367,69;4120,41;5016,10;5018,05;12710,14;48432,18;1218116,12
"230460 General Sampaio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;736,02;1761,84;138,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1216,52;7785,97;3218,55;5052,14;6179,55;5655,36;5355,49;3959,06;4701,48;4165,97;5774,02;6530,02;3709,19;7391,86;8399,85;10970,21;2521,20;865,91;4063,05;5876,75;4881,50;2331,66;1608,40;1883,62;9177,13;3867,33;10061,94;3383,20;3066,76;5913,49;3329,20;4210,08;4081,72;2042,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;165867,68
"230470 Granja";-;-;-;-;-;-;-;8485,58;7972,81;11587,52;31088,72;22172,55;38932,44;42179,46;47950,60;33652,72;33013,23;27278,21;32793,15;26828,39;36167,70;29750,61;20826,22;25854,92;25391,43;11368,49;42606,21;60749,24;44377,31;38469,56;40893,85;42940,93;46024,38;47973,96;38110,20;37427,78;39412,90;35937,90;41789,81;41725,78;51810,28;49595,15;45828,25;39108,00;40222,38;42019,23;50478,00;51299,05;55916,70;72298,54;76256,31;49980,57;41738,40;31268,01;40134,39;42314,18;43171,29;41102,72;42329,89;48884,31;41508,24;42214,47;52527,95;52984,36;34602,82;48669,86;38445,10;28530,47;20489,16;29017,95;23053,22;17526,51;14588,56;23622,33;25845,01;16337,79;26160,49;24213,24;26496,63;32093,28;25694,15;33284,22;35431,31;22765,15;30097,17;33851,12;31817,84;32242,24;47839,58;30685,95;37325,63;28818,04;27818,55;26997,92;31337,32;27009,07;20879,47;24896,88;29352,01;36303,12;32140,89;31031,80;33296,17;32111,24;26870,70;26972,76;28465,53;24374,00;31441,74;35862,58;53580,50;40613,53;32941,72;35041,75;25079,46;28750,40;29123,80;33214,53;28805,54;18987,07;12343,95;29716,04;35993,21;32336,90;35418,32;19778,43;21563,11;8923,78;16238,69;30939,87;33347,38;40401,93;36179,35;33364,26;56773,37;52343,31;46433,66;52357,36;52877,84;56894,33;59691,53;38930,49;29797,86;41227,73;54382,75;34790,64;44777,03;60131,54;58361,73;28555,12;47060,29;55046,50;52612,96;50242,70;27758,00;33774,99;48255,55;24233,30;39922,70;21311,85;19415,07;29159,03;34280,60;33197,66;37072,31;39288,52;35123,44;56514,98;27376,38;34835,63;13973,23;5844897,30
"230480 Granjeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1369,34;4339,83;3954,39;405,45;2289,92;4103,10;3156,01;2014,17;1456,76;1600,13;1550,68;4102,41;4442,52;3972,81;4245,81;2255,52;2583,13;8799,23;6332,26;7717,75;2481,96;1563,79;-;-;287,76;347,15;1453,83;1132,07;1651,33;2301,10;4574,64;4168,46;1719,65;948,32;2354,59;4126,00;7025,48;106827,35
"230490 Groaíras";-;-;-;-;-;-;-;-;-;-;-;-;311,36;4925,55;3892,94;2607,06;4620,15;6871,93;2189,90;2399,58;991,43;295,36;1702,76;-;3442,36;2178,31;8599,65;3343,54;7889,66;8238,56;10583,35;8416,96;6211,27;7320,27;4756,31;3823,24;4986,58;5180,36;7074,20;6355,52;6560,41;3290,38;5322,08;6452,33;4323,14;-;1167,66;3266,45;3751,12;4940,64;1284,70;9874,70;12920,30;8766,22;7777,67;-;204,50;8049,02;6303,69;7145,62;7204,36;6928,19;5319,73;4863,14;4337,98;3278,94;3010,14;3169,67;1760,78;1371,54;1398,35;-;4456,77;3167,29;2316,90;4363,80;4149,21;5801,63;2695,31;2442,49;2540,03;4671,58;7379,25;1052,98;1614,44;3202,73;4426,25;5614,37;2474,74;3204,67;1284,04;701,62;1349,92;2287,52;1667,60;360,80;1785,18;2263,10;1483,58;3558,14;2645,40;679,69;1022,29;972,00;1488,54;362,23;994,24;877,86;2227,43;3492,45;2645,32;3071,90;3031,69;5475,31;2398,68;975,15;2627,94;617,52;292,62;-;1607,58;2713,90;365,14;2968,78;5433,99;1705,20;2841,40;2511,17;1321,69;4340,27;2201,29;1285,19;1992,90;2120,23;4762,53;2138,40;1590,72;2234,70;4871,47;2226,98;3822,85;2111,21;3420,12;333,00;1580,28;3474,12;2513,72;1484,16;4470,92;2729,00;735,17;1580,56;2175,99;1942,36;3224,51;722,72;899,04;2256,34;4394,36;2314,18;1500,00;12907,20;20770,30;2162,42;613,30;-;-;-;-;-;-;526837,17
"230495 Guaiúba";-;-;-;-;-;-;-;-;-;-;-;554,69;1800,97;2148,78;5294,26;3483,54;4740,04;2613,62;2218,76;2226,92;2238,54;2646,31;1540,22;2015,69;4078,22;2643,94;7567,72;3207,54;8157,13;4576,43;3418,32;4007,29;6673,49;5361,86;5142,25;4407,94;7756,23;5296,88;9577,37;2315,85;563,00;2915,31;1867,12;1468,88;1395,93;3916,37;4796,42;4970,46;4781,29;3716,67;7908,47;7072,82;10287,26;6142,72;1630,15;2212,57;3175,00;4249,69;4404,00;4757,99;2678,76;1151,01;757,93;1364,34;2686,46;-;4085,39;3603,43;875,04;1698,27;1396,42;2026,88;-;723,33;3854,94;6380,95;6131,67;2821,65;2837,21;3492,61;5638,28;2844,77;4122,47;3204,09;464,32;946,04;917,43;1299,84;1937,13;3670,96;2424,08;2810,83;3740,77;5220,74;4521,78;2131,64;1168,68;2703,03;947,32;2713,46;713,52;2599,60;731,35;1987,11;1013,86;-;705,52;1311,98;2343,05;3467,18;3055,01;3912,91;899,03;5909,61;3189,20;4736,85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;412,30;582,86;-;798,82;1599,62;1345,35;916,80;203,71;292,62;2812,81;1837,37;1745,57;954,66;3147,38;3054,30;2482,25;7480,96;1561,86;3647,34;3264,46;1320,49;3519,76;582,42;699,46;765,08;582,42;2273,42;5797,26;2082,42;1164,84;416,39;1712,55;582,42;2597,73;2314,24;-;-;-;-;-;403064,59
